episode,phase,total_steps,outcome,length,discounted_return
410,il,7721,collision,12,-0.1871
411,il,7734,success,13,0.729
412,il,7746,success,12,0.7485
413,il,7763,success,17,0.6561
414,il,7769,success,6,0.8766
415,il,7793,success,24,0.5456
416,il,7799,collision,6,-0.2192
417,il,7806,collision,7,-0.2439
418,il,7826,too_close,20,0.6014
419,il,7830,collision,4,-0.2385
420,il,7832,collision,2,-0.2584
421,il,7844,too_close,12,0.7423
422,il,7847,collision,3,-0.2558
423,il,7876,too_close,29,0.4525
424,il,7894,collision,18,-0.1632
425,il,7915,too_close,21,0.5902
426,il,7924,success,9,0.81
427,il,7933,success,9,0.81
428,il,7941,collision,8,-0.2133
429,il,7942,collision,1,-0.25
430,il,7969,too_close,27,0.4872
431,il,7979,success,10,0.7889
432,il,7981,collision,2,-0.2618
433,il,8001,success,20,0.6063
434,il,8020,collision,19,-0.1602
435,il,8033,success,13,0.729
436,il,8045,collision,12,-0.1871
437,il,8054,success,9,0.81
438,il,8077,collision,23,-0.1471
439,il,8105,success,28,0.4911
440,il,8115,success,10,0.7889
441,il,8136,success,21,0.5905
442,il,8146,success,10,0.7889
443,il,8158,success,12,0.7485
444,il,8171,collision,13,-0.1823
445,il,8180,collision,9,-0.2118
446,il,8188,success,8,0.8316
447,il,8208,collision,20,-0.1628
448,il,8225,too_close,17,0.6528
449,il,8230,success,5,0.9
450,il,8278,collision,48,-0.0842
451,il,8294,success,16,0.6736
452,il,8323,collision,29,-0.1555
453,il,8341,success,18,0.639
454,il,8355,success,14,0.71
455,il,8357,success,2,0.974
456,il,8368,success,11,0.7684
457,il,8377,collision,9,-0.2025
458,il,8406,collision,29,-0.1245
459,il,8420,collision,14,-0.1851
460,il,8435,too_close,15,0.5979
461,il,8463,success,28,0.4911
462,il,8467,success,4,0.924
463,il,8489,success,22,0.5751
464,il,8554,success,65,0.1853
465,il,8569,success,15,0.6916
466,il,8575,collision,6,-0.2192
467,il,8584,success,9,0.81
468,il,8586,collision,2,-0.2593
469,il,8589,collision,3,-0.2571
470,il,8624,collision,35,-0.1243
471,il,8638,too_close,14,0.6741
472,il,8655,success,17,0.6561
473,il,8672,success,17,0.6561
474,il,8697,collision,25,-0.1483
475,il,8726,success,29,0.4783
476,il,8734,success,8,0.8316
477,il,8758,too_close,24,0.5237
478,il,8777,too_close,19,0.6027
479,il,8832,collision,55,-0.1294
480,il,8854,collision,22,-0.1536
481,il,8873,collision,19,-0.1578
482,il,8882,success,9,0.81
483,il,8899,collision,17,-0.1826
484,il,8912,collision,13,-0.1823
485,il,8916,collision,4,-0.2425
486,il,8933,too_close,17,0.6223
487,il,8953,collision,20,-0.1894
488,il,8960,success,7,0.8538
489,il,8986,too_close,26,0.5164
490,il,9005,too_close,19,0.6224
491,il,9033,collision,28,-0.1545
492,il,9061,too_close,28,0.4825
493,il,9092,success,31,0.4538
494,il,9101,success,9,0.81
495,il,9102,collision,1,-0.25
496,il,9112,collision,10,-0.2167
497,il,9126,success,14,0.71
498,il,9183,too_close,57,0.1944
499,il,9208,collision,25,-0.1625
500,il,9232,collision,24,-0.1686
501,il,9254,success,22,0.5751
502,il,9277,too_close,23,0.5596
503,il,9289,too_close,12,0.7438
504,il,9308,too_close,19,0.583
505,il,9315,success,7,0.8538
506,il,9333,success,18,0.639
507,il,9351,collision,18,-0.1703
508,il,9380,success,29,0.4783
509,il,9389,success,9,0.81
510,il,9395,collision,6,-0.2353
511,il,9396,collision,1,-0.25
512,il,9416,too_close,20,0.5393
513,il,9422,success,6,0.8766
514,il,9426,collision,4,-0.2496
515,il,9439,success,13,0.729
516,il,9451,too_close,12,0.7485
517,il,9465,success,14,0.71
518,il,9502,too_close,37,0.3638
519,il,9515,collision,13,-0.2012
520,il,9524,collision,9,-0.2121
521,il,9530,success,6,0.8766
522,il,9558,success,28,0.4911
523,il,9576,collision,18,-0.1598
524,il,9593,too_close,17,0.6537
525,il,9605,collision,12,-0.2047
526,il,9611,success,6,0.8766
527,il,9618,success,7,0.8538
528,il,9632,too_close,14,0.71
529,il,9638,collision,6,-0.2192
530,il,9671,too_close,33,0.4305
531,il,9680,collision,9,-0.2184
532,il,9737,collision,57,-0.0585
533,il,9763,success,26,0.5176
534,il,9809,too_close,46,0.3057
535,il,9820,collision,11,-0.228
536,il,9850,success,30,0.4659
537,il,9860,success,10,0.7889
538,il,9874,success,14,0.71
539,il,9889,success,15,0.6916
540,il,9896,too_close,7,0.7736
541,il,9914,too_close,18,0.639
542,il,9917,collision,3,-0.2479
543,il,9932,success,15,0.6916
544,il,9939,collision,7,-0.2136
545,il,9958,too_close,19,0.6224
546,il,9977,success,19,0.6224
547,il,9989,collision,12,-0.2008
548,il,10020,too_close,31,0.442
549,il,10055,collision,35,-0.1196
550,il,10084,success,29,0.4783
551,il,10096,collision,12,-0.1906
552,il,10124,collision,28,-0.1604
553,il,10142,success,18,0.639
554,il,10175,collision,33,-0.1312
555,il,10191,success,16,0.6736
556,il,10221,too_close,30,0.388
557,il,10237,too_close,16,0.6641
558,il,10246,success,9,0.81
559,il,10262,too_close,16,0.6224
560,il,10273,collision,11,-0.2024
561,il,10291,success,18,0.639
562,il,10367,too_close,76,0.1282
563,il,10371,success,4,0.924
564,il,10385,collision,14,-0.1847
565,il,10405,collision,20,-0.1623
566,il,10428,too_close,23,0.5602
567,il,10461,success,33,0.4305
568,il,10517,collision,56,-0.0656
569,il,10533,success,16,0.6736
570,il,10545,collision,12,-0.2017
571,il,10573,too_close,28,0.4723
572,il,10582,success,9,0.81
573,il,10591,collision,9,-0.2077
574,il,10602,success,11,0.7684
575,il,10607,collision,5,-0.2504
576,il,10616,success,9,0.81
577,il,10620,success,4,0.924
578,il,10651,success,31,0.4538
579,il,10666,success,15,0.6916
580,il,10670,collision,4,-0.2503
581,il,10677,success,7,0.8538
582,il,10695,success,18,0.639
583,il,10711,collision,16,-0.1765
584,il,10746,too_close,35,0.4084
585,il,10777,success,31,0.4538
586,il,10792,collision,15,-0.176
587,il,10833,too_close,41,0.334
588,il,10840,success,7,0.8538
589,il,10849,collision,9,-0.2073
590,il,10949,timeout,100,0.0
591,il,10954,too_close,5,0.9
592,il,10971,success,17,0.6561
593,il,10990,success,19,0.6224
594,il,11020,too_close,30,0.4611
595,il,11051,success,31,0.4538
596,il,11065,too_close,14,0.6883
597,il,11079,too_close,14,0.7072
598,il,11122,too_close,43,0.3201
599,il,11128,success,6,0.8766
600,il,11147,success,19,0.6224
601,il,11164,too_close,17,0.6545
602,il,11190,too_close,26,0.5176
603,il,11218,success,28,0.4911
604,il,11225,collision,7,-0.2345
605,il,11252,too_close,27,0.5042
606,il,11257,collision,5,-0.225
607,il,11312,too_close,55,0.2391
608,il,11358,too_close,46,0.3021
609,il,11378,success,20,0.6063
610,il,11382,collision,4,-0.2455
611,il,11395,success,13,0.729
612,il,11409,collision,14,-0.2056
613,il,11431,collision,22,-0.1542
614,il,11443,too_close,12,0.6965
